HERSTELLER	TYP	SCHALTUNGSKONZEPT	VERWENDUNGSART	MAX. GEN.LEIST. WSTC (W)	AC-NENNLEIST. PAC (W)	EURO-ETA (%)
Fronius International GmbH	IG 390	HF-Trafo	Netzeinspeisung	42000	29900	93.40	
Fronius International GmbH	CL 36.0	HF-Trafo	Netzeinspeisung	38600	36000	95.30	
Fronius International GmbH	IG 400	HF-Trafo	Netzeinspeisung	42000	32000	93.40	
Fronius International GmbH	IG 500	HF-Trafo	Netzeinspeisung	52000	40000	93.50	
Fronius International GmbH	CL 48.0	HF-Trafo	Netzeinspeisung	51400	48000	95.40	
Fronius International GmbH	CL 60.0	HF-Trafo	Netzeinspeisung	64400	60000	95.50	
Fronius International GmbH	IG Plus 60 V-1	HF-Trafo	Netzeinspeisung	6320	6000	95.00	
Fronius International GmbH	IG Plus 25 V-1	HF-Trafo	Netzeinspeisung	2740	2600	94.60	
Fronius International GmbH	IG Plus 30 V-1	HF-Trafo	Netzeinspeisung	3170	3000	94.80	
Fronius International GmbH	IG Plus 60 V-2	HF-Trafo	Netzeinspeisung	6320	6000	95.00	
Fronius International GmbH	IG Plus 55 V-3	HF-Trafo	Netzeinspeisung	5250	5000	94.90	
Fronius International GmbH	IG Plus 60 V-3	HF-Trafo	Netzeinspeisung	6300	6000	95.00	
Fronius International GmbH	IG Plus 80 V-3	HF-Trafo	Netzeinspeisung	7360	7000	95.10	
Fronius International GmbH	IG Plus 100 V-3	HF-Trafo	Netzeinspeisung	8430	8000	95.30	
Fronius International GmbH	IG TL 4.6	trafolos (einstufig)	Netzeinspeisung	4820	4600	97.30	
Fronius International GmbH	Agilo 75.0-3	NF-Trafo	Netzeinspeisung	117400	75000	96.70	
Fronius International GmbH	Agilo 100.0-3	NF-Trafo	Netzeinspeisung	156600	100000	96.60	
Fronius International GmbH	IG Plus 55 V-1	HF-Trafo	Netzeinspeisung	5260	5000	94.90	
Fronius International GmbH	IG Plus 55 V-2	HF-Trafo	Netzeinspeisung	5260	5000	94.90	
Fronius International GmbH	Agilo 100.0-3 Outdoor	NF-Trafo	Netzeinspeisung	156600	100000	96.60	
Fronius International GmbH	Agilo 75.0-3 Outdoor	NF-Trafo	Netzeinspeisung	117400	75000	96.70	
Fronius International GmbH	Galvo 1.5-1	HF-Trafo	Netzeinspeisung	1600	1500	94.50	
Fronius International GmbH	Galvo 2.0-1	HF-Trafo	Netzeinspeisung	2140	2000	94.90	
Fronius International GmbH	Galvo 2.5-1	HF-Trafo	Netzeinspeisung	2650	2500	95.20	
Fronius International GmbH	Galvo 3.0-1	HF-Trafo	Netzeinspeisung	3160	3000	95.40	
Fronius International GmbH	Galvo 3.1-1	HF-Trafo	Netzeinspeisung	3310	3100	95.40	
Fronius International GmbH	Symo 3.0-3-S	trafolos (einstufig)	Netzeinspeisung	4688	3000	96.20	
Fronius International GmbH	Symo 3.7-3-S	trafolos (einstufig)	Netzeinspeisung	5775	3700	96.70	
Fronius International GmbH	Symo 4.5-3-S	trafolos (einstufig)	Netzeinspeisung	7035	4500	97.00	
Fronius International GmbH	Symo 3.0-3-M	trafolos (einstufig)	Netzeinspeisung	6000	3000	96.50	
Fronius International GmbH	Symo 3.7-3-M	trafolos (einstufig)	Netzeinspeisung	7400	3700	96.90	
Fronius International GmbH	Symo 4.5-3-M	trafolos (einstufig)	Netzeinspeisung	9000	4500	97.20	
Fronius International GmbH	Symo 5.0-3-M	trafolos (einstufig)	Netzeinspeisung	10000	5000	97.00	
Fronius International GmbH	Symo 6.0-3-M	trafolos (einstufig)	Netzeinspeisung	12000	6000	97.20	
Fronius International GmbH	Symo 7.0-3-M	trafolos (einstufig)	Netzeinspeisung	14000	7000	97.30	
Fronius International GmbH	Symo 8.2-3-M	trafolos (einstufig)	Netzeinspeisung	16400	8200	97.50	
Fronius International GmbH	Symo 10.0-3-M	trafolos (einstufig)	Netzeinspeisung	19540	10000	97.50	
Fronius International GmbH	Symo 12.5-3-M	trafolos (einstufig)	Netzeinspeisung	19540	12500	97.60	
Fronius International GmbH	Symo 15.0-3-M	trafolos (einstufig)	Netzeinspeisung	31260	15000	97.80	
Fronius International GmbH	Symo 17.5-3-M	trafolos (einstufig)	Netzeinspeisung	31260	17500	97.80	
Fronius International GmbH	Symo 20.0-3-M	trafolos (einstufig)	Netzeinspeisung	31260	20000	97.90
SolarEdge Technologies Ltd.	SE 2200	trafolos (einstufig)	Netzeinspeisung	2750	2200	97.60	
SolarEdge Technologies Ltd.	SE 3000	trafolos (einstufig)	Netzeinspeisung	3750	3000	97.60	
SolarEdge Technologies Ltd.	SE 3500	trafolos (einstufig)	Netzeinspeisung	4350	3500	97.50	
SolarEdge Technologies Ltd.	SE 4000	trafolos (einstufig)	Netzeinspeisung	5000	4000	97.50	
SolarEdge Technologies Ltd.	SE 5000	trafolos (einstufig)	Netzeinspeisung	6250	4600	97.40	
SolarEdge Technologies Ltd.	SE 3500-16A	trafolos (einstufig)	Netzeinspeisung	4350	3500	97.50	
SolarEdge Technologies Ltd.	SE 4000-16A	trafolos (einstufig)	Netzeinspeisung	5000	4000	97.50	
SolarEdge Technologies Ltd.	SE7K	trafolos (mehrstufig)	Netzeinspeisung	9450	7000	97.30	
SolarEdge Technologies Ltd.	SE8K	trafolos (mehrstufig)	Netzeinspeisung	10800	8000	97.50	
SolarEdge Technologies Ltd.	SE9K	trafolos (mehrstufig)	Netzeinspeisung	12150	9000	97.50	
SolarEdge Technologies Ltd.	SE10K	trafolos (mehrstufig)	Netzeinspeisung	13500	10000	97.60	
SolarEdge Technologies Ltd.	SE12.5K	trafolos (mehrstufig)	Netzeinspeisung	16850	12500	97.70	
SolarEdge Technologies Ltd.	SE15K	trafolos (mehrstufig)	Netzeinspeisung	20250	15000	97.60	
SolarEdge Technologies Ltd.	SE16K	trafolos (mehrstufig)	Netzeinspeisung	21600	16000	97.70	
SolarEdge Technologies Ltd.	SE17K	trafolos (mehrstufig)	Netzeinspeisung	22950	17000	97.70	
SolarEdge Technologies Ltd.	SE5K	trafolos (mehrstufig)	Netzeinspeisung	6750	5000	97.30	
SolarEdge Technologies Ltd.	SE4K	trafolos (mehrstufig)	Netzeinspeisung	5400	4000	97.30	
SolarEdge Technologies Ltd.	SE25K	trafolos (mehrstufig)	Netzeinspeisung	33750	25000	98.00	
SolarEdge Technologies Ltd.	SE27 6K	trafolos (mehrstufig)	Netzeinspeisung	37250	27600	98.00	
SolarEdge Technologies Ltd.	SE33 3K	trafolos (mehrstufig)	Netzeinspeisung	45000	33300	97.80
